name,roaster,roast,loc_country,origin_1,origin_2,100g_USD,rating,review_date,desc_1
“Sweety” Espresso Blend,A.R.C.,Medium-Light,Hong Kong,Panama,Ethiopia,14.32,95,17-Nov,"Evaluated as espresso. Sweet-toned, deeply rich, chocolaty. Vanilla paste, dark chocolate, narcissus, pink grapefruit zest, black cherry in aroma and cup. Plush, syrupy mouthfeel; resonant, flavor-saturated finish. In three parts milk, rich chocolate tones intensify, along with intimations of vanilla paste and black cherry in the short finish and floral-toned citrus zest in the long. "
Flora Blend Espresso,A.R.C.,Medium-Light,Hong Kong,Africa,Asia Pacific,9.05,94,17-Nov,"Evaluated as espresso. Sweetly tart, floral-toned. Honeysuckle, oak, dried apricot, dark chocolate, thyme in aroma and small cup. Delicately syrupy body; gently drying, floral-driven finish in the short and sweetly herb-toned in the long. In three parts milk, chocolate, florals and fruit all take center stage, and thyme-like herb notes gently follow."
Ethiopia Shakiso Mormora,Revel Coffee,Medium-Light,United States,Guji Zone,Southern Ethiopia,4.7,92,17-Nov,"Crisply sweet, cocoa-toned. Lemon blossom, roasted cacao nib, date, rice candy, white peppercorn in aroma and cup. Savory-tart structure; delicate, silky mouthfeel. The richly drying finish leads with cocoa-toned, crisply sweet floral notes in the short and a hint of spice (white peppercorn) in the long."
Ethiopia Suke Quto,Roast House,Medium-Light,United States,Guji Zone,Oromia Region,4.19,92,17-Nov,"Delicate, sweetly spice-toned. Pink peppercorn, date, myrrh, lavender, roasted cacao nib in aroma and cup. Crisp, spice-toned structure with citrus-like acidity; satiny, very smooth mouthfeel. The crisply sweet finish centers around spice and pungent floral notes."
Ethiopia Gedeb Halo Beriti,Big Creek Coffee Roasters,Medium,United States,Gedeb District,Gedeo Zone,4.85,94,17-Nov,"Deeply sweet, subtly pungent. Honey, pear, tangerine zest, dark chocolate, pistachio in aroma and cup. Sweet and juicy yet crisp in structure (think ripe pear); plush and buoyant in mouthfeel. Resonant and flavor saturated in the short finish; simplifies around hints of tangerine and pistachio in the long."
Ethiopia Kayon Mountain,Red Rooster Coffee Roaster,Light,United States,Odo Shakiso District,Guji Zone,5.14,93,17-Nov,"Delicate, richly and sweetly tart. Dried hibiscus, fine musk, almond, sandalwood, raspberry in aroma and cup. Fruit-toned, deeply sweet structure with gently-expressed acidity; buoyant, satiny-smooth mouthfeel. The crisp, flavor-saturated finish is characterized by sweet-tart fruit and floral tones (raspberry, hibiscus)."
Ethiopia Gelgelu Natural Organic,Willoughby's Coffee & Tea,Medium-Light,United States,Yirgacheffe Growing Region,Southern Ethiopia,3.97,93,17-Nov,"High-toned, floral. Dried apricot, magnolia, almond butter, maple syrup, cherry brandy in aroma and cup. Crisp, sweetly-tart in structure; plush, syrupy mouthfeel. Notes of magnolia and dried apricot dominate in the flavor-laden short finish, with hints of almond butter and fruit brandy in the long."
Ethiopia Hambela Alaka,Black Oak Coffee Roasters,Medium-Light,United States,Hambela Wamena District,Guji Zone,5.14,93,17-Nov,"Very delicate, sweetly savory. Lemon verbena, allspice, dried persimmon, dogwood, baker’s chocolate in aroma and cup. Balanced, sweet-savory structure; velvety-smooth mouthfeel. The sweetly herb-toned finish centers on notes of lemon verbena and dried persimmon wrapped in baker’s chocolate."
Organic Ethiopia Kirite,Wonderstate Coffee,Medium-Light,United States,Hambela District,Guji Zone,5.29,93,17-Nov,"High-toned, crisply sweet. Lemon blossom, apricot, frankincense, spearmint, roasted cacao nib in aroma and cup. Balanced, complete sweet-savory structure; satiny, full mouthfeel. Sweet spearmint notes carry the cocoa-toned finish, with hints of lemon blossom and apricot."
Ethiopia Sidama,Reunion Island Coffee,Medium,Canada,Sidama (Also Sidamo) Growing Region,Southern Ethiopia,3.76,94,17-Nov,"Balanced, sweet-savory. Red currant, roasted cacao nib, clove, blood orange zest, frankincense in aroma and cup. Savory-sweet structure with lively acidity; syrupy mouthfeel. The resonant, spice-toned finish leads with intimations of clove and roasted cacao nib in the short, rounding to rich fruit tones with hints of frankincense in the long."
Thiriku AA Kenya,PT's Coffee Roasting,Medium,United States,Central Kenya,Sidama (Also Sidamo) Growing Region,7.2,95,17-Nov,"Intense; deep, spice-complicated sweetness. Black currant, baker’s chocolate, peppercorn medley, black sage, a hint of lush lily in aroma and cup. Balanced and lively in structure: sweetly tart with a savory edge. Plush, silky mouthfeel. Chocolate moves forward in a resonant, long, lively finish."
Ethiopia Natural Yirgacheffe Tore,Kakalove Cafe,Medium-Light,Taiwan,Tore Village,Yirgacheffe Growing Region,3.89,93,17-Nov,"Deeply crisp, lushly floral. Rose, almond, dark chocolate, lime zest, peppermint in aroma and cup. Tartly sweet with a clear savory edge in structure; plump, juicy mouthfeel. Finish is complex and resonant in the short, consolidating around a fading lime and mint in the long. "
Direct Fair Trade Espresso,Level Ground Trading,Medium-Light,Canada,Africa,South America,2.82,92,17-Nov,"Evaluated as espresso. Intrigungly complex, balanced. Dark chocolate, molasses, cedar, narcissus, date in aroma and small cup. Satiny-smooth body; sweetly cocoa-toned finish. In three parts milk, floral and cocoa tones lead in the short, while hints of rich date resurface in the long."
Decaf Ethiopia Sidamo,Old Soul Co.,Medium,United States,Sidama (Also Sidamo) Growing Region,Southern Ethiopia,5.73,90,17-Nov,"Surprising and melodic, delicate yet vivid. Lilac and lemon blossom, fresh sweet grass, honey, moist pipe tobacco, fresh-cut elm in aroma and cup. In structure subtly and sweetly tart. Very light, silky mouthfeel. Unexpectedly rich and flavor-saturated in the finish: pipe tobacco, honey, lemon blossom."
Ethiopia Yirgacheffe Washed G1,A.R.C.,Medium-Light,Hong Kong,Yirgacheffe Growing Region,Southern Ethiopia,6.87,92,17-Nov,"Delicate, gently tart, spice-toned. Pomegranate, cocoa powder, lemon blossom, white peppercorn, hazelnut in aroma and cup. Lively, quietly complex structure; crisp, buoyant mouthfeel. The finish leads with gently drying notes of hazelnut and white peppercorn in the short and segues to cocoa-toned citrus blossoms in the long. "
Ethiopia Yirgacheffe Natural G1,A.R.C.,Medium-Light,Hong Kong,Yirgacheffe Growing Region,Southern Ethiopia,6.87,91,17-Nov,"Rich, sweet-toned, balanced. Nougat, pink peppercorn, lemongrass, roasted cacao nib, tea rose in aroma and cup. Floral-toned, bittersweet structure; delicate, satiny mouthfeel. Notes of aromatic wood and spice-toned florals carry the gently drying finish."
“Fruity” Espresso Blend,A.R.C.,Medium-Light,Hong Kong,Ethiopia,Kenya,11.45,95,17-Nov,"Evaluated as espresso. Subtle and enveloping, richly sweet-toned. Jasmine, roasted cacao nib, passionfruit, sandalwood, nougat in aroma and small cup.  Delicate, silky mouthfeel; cocoa- and sandalwood-toned finish with notes of passionfruit carrying into the long. In three parts milk, passionfruit and jasmine harmonize with cocoa and a pleasing aromatic wood."
Decaf Colombia Select,Bootstrap Coffee Roasters,Medium-Light,United States,Colombia,Ethiopia,4.41,87,17-Nov,"Sweet, delicate, floral and wood-toned. Fresh-cut fir, demerara sugar, orange zest, faint rose-like flowers in aroma and cup. Gently bittersweet structure; very lightly syrupy mouthfeel. Flavor consolidates but persists in a round, sweet-toned finish."
Ethiopia Awassa,Paradise Roasters,Medium-Light,United States,Yirgacheffe,Ethiopia,5.28,93,17-Nov,"Crisply sweet, multi-faceted. Candied violet, dark chocolate, pungent juniper wood, grapefruit zest, mango in aroma and cup. Sweetly tart structure with juicy acidity; satiny mouthfeel. The resonant finish centers around mango and violet in the short and dark chocolate in the long, with a hint of aromatic wood."
100% Kona SL-28,Hula Daddy Kona Coffee,Medium-Light,Hawai'i,Holualoa,North Kona Growing District,33.05,97,17-Nov,"Spectacularly sweet and hugely aromatic. Meyer lemon marmalade, cedar, pistachio, guava, jasmine in aroma and cup. Crisply sweet/tart and massively juicy in structure; plush, buoyant mouthfeel. The juicy structure and complex aromatics persist in a long, lingering finish.   "
